ITEM_ID,CATEGORY,NAME,EXISTS,VERIFIED,SOURCE,DESIGN_MAY_SHOW,DESIGN_MAY_NOT_INVENT,NOTES
SCR-01,SCREEN,SHELL (persistent chrome),YES,YES,pachinko/index.html:247-262 statusbar/tabs,YES,画面の新設・削除,経営状態の常時提示と、機能領域の切替、1営業日実行の起点
SCR-02,SCREEN,panel-hall,YES,YES,pachinko/index.html:265-271 markup,YES,画面の新設・削除,設置中の台の運用。設定変更・試打・売却
SCR-03,SCREEN,panel-shop,YES,YES,pachinko/index.html:274-280 markup,YES,画面の新設・削除,機種カタログからの導入判断
SCR-04,SCREEN,panel-mgmt,YES,YES,pachinko/index.html:283-345 markup,YES,画面の新設・削除,台以外の経営資源と、警戒度・実績・データ操作
SCR-05,SCREEN,panel-ledger,YES,YES,pachinko/index.html:348-363 markup,YES,画面の新設・削除,過去営業日の検証
SCR-06,SCREEN,modal:tutorial,YES,YES,pachinko/index.html:1761 showTutorial,YES,画面の新設・削除,製品説明と難易度選択によるゲーム開始
SCR-07,SCREEN,modal:day-result,YES,YES,pachinko/index.html:1300 showDayResult,YES,画面の新設・削除,当日結果の提示と次判断への接続
SCR-08,SCREEN,modal:bankrupt,YES,YES,pachinko/index.html:1277 showBankruptModal,YES,画面の新設・削除,倒産の終局提示。やり直し以外を封じる
SCR-09,SCREEN,modal:no-machine,YES,YES,pachinko/index.html:1791-1795,YES,画面の新設・削除,台0台での営業実行の無効化と次行動の案内
SCR-10,SCREEN,modal:trial-slot,YES,YES,pachinko/index.html:1349 openSlotTrial,YES,画面の新設・削除,スロット実機の遊技(営業収支に影響しない)
SCR-11,SCREEN,modal:trial-pachinko,YES,YES,pachinko/index.html:1496 openPachiTrial,YES,画面の新設・削除,パチンコ実機の遊技(営業収支に影響しない)
SCR-12,SCREEN,overlay:toast,YES,YES,pachinko/index.html:707 toast(),YES,画面の新設・削除,実績解除の一時通知(操作を妨げない)
ST-01,STATE,SCR-01 / 通常,YES,YES,pachinko/index.html:986,YES,状態の新設・削除,全指標が現在値で表示
ST-02,STATE,SCR-01 / 日付に7を含む,YES,YES,"pachinko/index.html:678,987,995",YES,状態の新設・削除,stDayに特日表記 / dayNoteが特日の助言に変化
ST-03,STATE,SCR-01 / day%7が6または0,YES,YES,"pachinko/index.html:679,987",YES,状態の新設・削除,stDayに週末表記
ST-04,STATE,SCR-01 / trend.idsが非空,YES,YES,"pachinko/index.html:994,996",YES,状態の新設・削除,dayNote末尾に今週のブーム名
ST-05,STATE,SCR-01 / money<0,YES,YES,"pachinko/index.html:1276,1789",YES,状態の新設・削除,btnOpenで倒産提示へ遷移
ST-06,STATE,SCR-02 / machines.length===0,YES,YES,pachinko/index.html:1003-1006,YES,状態の新設・削除,空状態の案内文のみ
ST-07,STATE,SCR-02 / machines.length>0,YES,YES,pachinko/index.html:1008-1057,YES,状態の新設・削除,台ごとの明細を列挙
ST-08,STATE,SCR-02 / day-boughtDay<5,YES,YES,"pachinko/index.html:1011,1025",YES,状態の新設・削除,NEW標識を表示
ST-09,STATE,SCR-02 / trendMult>1,YES,YES,"pachinko/index.html:686,1020",YES,状態の新設・削除,ブーム中の標識
ST-10,STATE,SCR-02 / 同一機種2台以上,YES,YES,"pachinko/index.html:682,1021",YES,状態の新設・削除,シマ効果量の標識
ST-11,STATE,SCR-02 / setting>=5,YES,YES,pachinko/index.html:1022,YES,状態の新設・削除,プロ警戒の標識
ST-12,STATE,SCR-02 / lastNet===null,YES,YES,pachinko/index.html:1014-1015,YES,状態の新設・削除,前日収支が未計測表示
ST-13,STATE,SCR-02 / 売却操作,YES,YES,pachinko/index.html:1047,YES,状態の新設・削除,OSの確認ダイアログ
ST-14,STATE,SCR-03 / 資金充足かつ空き枠あり,YES,YES,pachinko/index.html:1084-1090,YES,状態の新設・削除,購入操作が有効
ST-15,STATE,SCR-03 / money<price,YES,YES,"pachinko/index.html:1087,1089",YES,状態の新設・削除,購入操作が資金不足表示で無効
ST-16,STATE,SCR-03 / machines>=cap,YES,YES,"pachinko/index.html:1086,1088",YES,状態の新設・削除,購入操作が枠なし表示で無効
ST-17,STATE,SCR-03 / 同一機種を所有,YES,YES,"pachinko/index.html:1062,1070",YES,状態の新設・削除,自店設置数の標識
ST-18,STATE,SCR-04 / staff<staffNeeded(),YES,YES,pachinko/index.html:1112-1113,YES,状態の新設・削除,不足中の警告表示
